Country_code,Country_name,year,Total_cases,number_deaths
AFG,Afghanistan,2020,52330,2189
AFG,Afghanistan,2021,105729,5167
AFG,Afghanistan,2022,34945,421
ALB,Albania,2020,57727,1174
ALB,Albania,2021,151789,2041
ALB,Albania,2022,117909,367
DZA,Algeria,2020,99311,2751
DZA,Algeria,2021,118726,3520
DZA,Algeria,2022,52198,607
ASM,American Samoa,2020,0,0
ASM,American Samoa,2021,11,0
ASM,American Samoa,2022,8157,34
AND,Andorra,2020,7983,84
AND,Andorra,2021,15139,56
AND,Andorra,2022,22905,14
AGO,Angola,2020,17433,405
AGO,Angola,2021,59354,1352
AGO,Angola,2022,25849,160
AIA,Anguilla,2020,13,0
AIA,Anguilla,2021,1661,5
AIA,Anguilla,2022,2131,5
ATG,Antigua and Barbuda,2020,158,5
ATG,Antigua and Barbuda,2021,4137,114
ATG,Antigua and Barbuda,2022,4654,26
ARG,Argentina,2020,1674319,48271
ARG,Argentina,2021,4106203,69905
ARG,Argentina,2022,3897703,11535
ARM,Armenia,2020,159409,2823
ARM,Armenia,2021,185521,5149
ARM,Armenia,2022,89468,683
ABW,Aruba,2020,5373,49
ABW,Aruba,2021,13648,132
ABW,Aruba,2022,23729,46
AUS,Australia,2020,28381,909
AUS,Australia,2021,334177,1317
AUS,Australia,2022,9643280,11533
AUT,Austria,2020,356073,7482
AUT,Austria,2021,914518,9316
AUT,Austria,2022,3681069,3830
AZE,Azerbaijan,2020,216584,2575
AZE,Azerbaijan,2021,399768,5771
AZE,Azerbaijan,2022,195896,1459
BHS,Bahamas,2020,7857,170
BHS,Bahamas,2021,16619,547
BHS,Bahamas,2022,12568,106
BHR,Bahrain,2020,92425,352
BHR,Bahrain,2021,188981,1042
BHR,Bahrain,2022,389649,120
BGD,Bangladesh,2020,513510,7559
BGD,Bangladesh,2021,1072029,20513
BGD,Bangladesh,2022,426021,1251
BRB,Barbados,2020,372,7
BRB,Barbados,2021,27938,253
BRB,Barbados,2022,72452,279
BLR,Belarus,2020,192361,1414
BLR,Belarus,2021,505239,4147
BLR,Belarus,2022,296437,1557
BEL,Belgium,2020,648414,19749
BEL,Belgium,2021,1465190,8635
BEL,Belgium,2022,2368711,4132
BLZ,Belize,2020,10668,241
BLZ,Belize,2021,21399,356
BLZ,Belize,2022,36120,83
BEN,Benin,2020,3251,44
BEN,Benin,2021,21793,117
BEN,Benin,2022,2446,2
BMU,Bermuda,2020,595,10
BMU,Bermuda,2021,5736,96
BMU,Bermuda,2022,11454,42
BTN,Bhutan,2020,670,0
BTN,Bhutan,2021,1990,3
BTN,Bhutan,2022,58416,18
BOL,Bolivia (Plurinational State of),2020,156887,9135
BOL,Bolivia (Plurinational State of),2021,434886,10515
BOL,Bolivia (Plurinational State of),2022,508339,2545
BIH,Bosnia and Herzegovina,2020,110985,4050
BIH,Bosnia and Herzegovina,2021,179486,9378
BIH,Bosnia and Herzegovina,2022,104958,2613
BWA,Botswana,2020,14637,43
BWA,Botswana,2021,207416,2409
BWA,Botswana,2022,103811,326
BRA,Brazil,2020,7563551,192681
BRA,Brazil,2021,14700283,426136
BRA,Brazil,2022,12120913,64677
VGB,British Virgin Islands,2020,93,1
VGB,British Virgin Islands,2021,3163,38
VGB,British Virgin Islands,2022,3875,24
BRN,Brunei Darussalam,2020,157,3
BRN,Brunei Darussalam,2021,15313,58
BRN,Brunei Darussalam,2022,204775,67
BGR,Bulgaria,2020,201220,7515
BGR,Bulgaria,2021,543078,23375
BGR,Bulgaria,2022,496975,6709
BFA,Burkina Faso,2020,6707,85
BFA,Burkina Faso,2021,10925,233
BFA,Burkina Faso,2022,3496,69
BDI,Burundi,2020,818,2
BDI,Burundi,2021,29732,12
BDI,Burundi,2022,18708,1
CPV,Cabo Verde,2020,11793,112
CPV,Cabo Verde,2021,28945,240
CPV,Cabo Verde,2022,21572,58
KHM,Cambodia,2020,366,0
KHM,Cambodia,2021,120121,3012
KHM,Cambodia,2022,17094,44
CMR,Cameroon,2020,26848,448
CMR,Cameroon,2021,82818,1405
CMR,Cameroon,2022,11986,82
CAN,Canada,2020,565504,15274
CAN,Canada,2021,1536966,14684
CAN,Canada,2022,2056021,13839
CYM,Cayman Islands,2020,326,2
CYM,Cayman Islands,2021,8492,9
CYM,Cayman Islands,2022,21239,18
CAF,Central African Republic,2020,5818,63
CAF,Central African Republic,2021,6636,38
CAF,Central African Republic,2022,2407,12
TCD,Chad,2020,2077,105
TCD,Chad,2021,3624,76
TCD,Chad,2022,1835,12
CHL,Chile,2020,605950,16499
CHL,Chile,2021,1198732,22597
CHL,Chile,2022,2694541,21339
CHN,China,2020,96673,4788
CHN,China,2021,35107,911
CHN,China,2022,6235038,19067
COL,Colombia,2020,1614822,42620
COL,Colombia,2021,3523781,87246
COL,Colombia,2022,1160992,11653
COM,Comoros,2020,695,9
COM,Comoros,2021,5820,148
COM,Comoros,2022,1935,3
COG,Congo,2020,6431,100
COG,Congo,2021,14846,269
COG,Congo,2022,3498,17
COK,Cook Islands,2020,0,0
COK,Cook Islands,2021,0,0
COK,Cook Islands,2022,6265,1
CRI,Costa Rica,2020,166799,2156
CRI,Costa Rica,2021,404161,5198
CRI,Costa Rica,2022,517756,1502
HRV,Croatia,2020,208446,3860
HRV,Croatia,2021,501232,8633
HRV,Croatia,2022,502301,4180
CUB,Cuba,2020,11687,145
CUB,Cuba,2021,953884,8177
CUB,Cuba,2022,144893,208
CYP,Cyprus,2020,22347,122
CYP,Cyprus,2021,139432,524
CYP,Cyprus,2022,414499,522
CZE,Czechia,2020,719668,11888
CZE,Czechia,2021,1760491,24408
CZE,Czechia,2022,1558352,4509
CIV,Côte d’Ivoire,2020,22250,138
CIV,Côte d’Ivoire,2021,45896,574
CIV,Côte d’Ivoire,2022,18504,105
PRK,Democratic People's Republic of Korea,2020,0,0
PRK,Democratic People's Republic of Korea,2021,0,0
PRK,Democratic People's Republic of Korea,2022,0,0
COD,Democratic Republic of the Congo,2020,17657,591
COD,Democratic Republic of the Congo,2021,61616,634
COD,Democratic Republic of the Congo,2022,13360,175
DNK,Denmark,2020,165341,1286
DNK,Denmark,2021,641967,1979
DNK,Denmark,2022,2464150,3647
DJI,Djibouti,2020,5824,61
DJI,Djibouti,2021,7808,128
DJI,Djibouti,2022,2058,0
DMA,Dominica,2020,96,0
DMA,Dominica,2021,6718,47
DMA,Dominica,2022,8038,21
DOM,Dominican Republic,2020,169579,2409
DOM,Dominican Republic,2021,247689,1837
DOM,Dominican Republic,2022,221232,138
ECU,Ecuador,2020,211512,14023
ECU,Ecuador,2021,334288,19646
ECU,Ecuador,2022,449311,2163
EGY,Egypt,2020,136644,7576
EGY,Egypt,2021,248084,14151
EGY,Egypt,2022,130580,3067
SLV,El Salvador,2020,45960,1327
SLV,El Salvador,2021,75781,2496
SLV,El Salvador,2022,69077,398
GNQ,Equatorial Guinea,2020,5277,86
GNQ,Equatorial Guinea,2021,8433,89
GNQ,Equatorial Guinea,2022,3143,8
ERI,Eritrea,2020,1252,1
ERI,Eritrea,2021,6730,74
ERI,Eritrea,2022,2172,28
EST,Estonia,2020,27997,229
EST,Estonia,2021,213764,1703
EST,Estonia,2022,356077,719
SWZ,Eswatini,2020,9144,185
SWZ,Eswatini,2021,56688,1114
SWZ,Eswatini,2022,7529,123
ETH,Ethiopia,2020,123856,1918
ETH,Ethiopia,2021,291587,5008
ETH,Ethiopia,2022,77724,645
FLK,Falkland Islands (Malvinas),2020,29,0
FLK,Falkland Islands (Malvinas),2021,53,0
FLK,Falkland Islands (Malvinas),2022,1804,0
FRO,Faroe Islands,2020,608,0
FRO,Faroe Islands,2021,5161,14
FRO,Faroe Islands,2022,28889,14
FJI,Fiji,2020,49,2
FJI,Fiji,2021,53283,696
FJI,Fiji,2022,14821,180
FIN,Finland,2020,36426,592
FIN,Finland,2021,234766,1137
FIN,Finland,2022,987606,3848
FRA,France,2020,2564972,64004
FRA,France,2021,6917610,56958
FRA,France,2022,23984040,29489
GUF,French Guiana,2020,13045,71
GUF,French Guiana,2021,35354,268
GUF,French Guiana,2022,45187,69
PYF,French Polynesia,2020,16851,114
PYF,French Polynesia,2021,29574,522
PYF,French Polynesia,2022,30014,13
GAB,Gabon,2020,9571,64
GAB,Gabon,2021,32227,224
GAB,Gabon,2022,6837,18
GMB,Gambia,2020,3800,124
GMB,Gambia,2021,6370,219
GMB,Gambia,2022,2141,28
GEO,Georgia,2020,227420,2505
GEO,Georgia,2021,707321,11295
GEO,Georgia,2022,800941,3089
DEU,Germany,2020,1734948,50323
DEU,Germany,2021,5431610,67669
DEU,Germany,2022,24929296,29231
GHA,Ghana,2020,55064,335
GHA,Ghana,2021,91055,971
GHA,Ghana,2022,22461,153
GIB,Gibraltar,2020,1785,6
GIB,Gibraltar,2021,6748,94
GIB,Gibraltar,2022,11516,7
GRC,Greece,2020,137918,4788
GRC,Greece,2021,1032375,15920
GRC,Greece,2022,3541732,11627
GRL,Greenland,2020,27,0
GRL,Greenland,2021,2474,1
GRL,Greenland,2022,9470,20
GRD,Grenada,2020,128,0
GRD,Grenada,2021,5945,200
GRD,Grenada,2022,13216,36
GLP,Guadeloupe,2020,8620,155
GLP,Guadeloupe,2021,47175,676
GLP,Guadeloupe,2022,136202,155
GUM,Guam,2020,7129,121
GUM,Guam,2021,8223,149
GUM,Guam,2022,32834,119
GTM,Guatemala,2020,137166,4803
GTM,Guatemala,2021,489509,11299
GTM,Guatemala,2022,470888,3349
GGY,Guernsey,2020,298,16
GGY,Guernsey,2021,7504,8
GGY,Guernsey,2022,22849,38
GIN,Guinea,2020,13722,81
GIN,Guinea,2021,18726,310
GIN,Guinea,2022,5022,56
GNB,Guinea-Bissau,2020,2452,45
GNB,Guinea-Bissau,2021,4032,104
GNB,Guinea-Bissau,2022,2007,26
