Country_code,Country_name,Year,Deaths
ABW,Aruba,2015,679
ABW,Aruba,2016,781
ABW,Aruba,2017,707
ABW,Aruba,2018,717
ABW,Aruba,2019,665
ABW,Aruba,2020,743
ABW,Aruba,2021,964
ALB,Albania,2015,22418
ALB,Albania,2016,21388
ALB,Albania,2017,22232
ALB,Albania,2018,21804
ALB,Albania,2019,21937
ALB,Albania,2020,27605
ALB,Albania,2021,30580
ALB,Albania,2022,7938
AND,Andorra,2015,282
AND,Andorra,2016,310
AND,Andorra,2017,323
AND,Andorra,2018,335
AND,Andorra,2019,301
AND,Andorra,2020,419
ARG,Argentina,2015,333440
ARG,Argentina,2016,352506
ARG,Argentina,2017,342341
ARG,Argentina,2018,337601
ARG,Argentina,2019,341055
ARG,Argentina,2020,376221
ARM,Armenia,2015,27844
ARM,Armenia,2016,28129
ARM,Armenia,2017,27367
ARM,Armenia,2018,25645
ARM,Armenia,2019,26252
ARM,Armenia,2020,35371
ARM,Armenia,2021,34638
ARM,Armenia,2022,14679
ATG,Antigua and Barbuda,2015,533
ATG,Antigua and Barbuda,2016,548
ATG,Antigua and Barbuda,2017,573
ATG,Antigua and Barbuda,2018,581
ATG,Antigua and Barbuda,2019,618
ATG,Antigua and Barbuda,2020,574
ATG,Antigua and Barbuda,2021,649
AUS,Australia,2015,159762
AUS,Australia,2016,157848
AUS,Australia,2017,163923
AUS,Australia,2018,159071
AUS,Australia,2019,164372
AUS,Australia,2020,164703
AUS,Australia,2021,170960
AUS,Australia,2022,73545
AUT,Austria,2015,82969
AUT,Austria,2016,78842
AUT,Austria,2017,81311
AUT,Austria,2018,82063
AUT,Austria,2019,81485
AUT,Austria,2020,91553
AUT,Austria,2021,89875
AUT,Austria,2022,52323
AZE,Azerbaijan,2015,57733
AZE,Azerbaijan,2016,56648
AZE,Azerbaijan,2017,57109
AZE,Azerbaijan,2018,57250
AZE,Azerbaijan,2019,56447
AZE,Azerbaijan,2020,75647
AZE,Azerbaijan,2021,76878
AZE,Azerbaijan,2022,32589
BEL,Belgium,2015,112409
BEL,Belgium,2016,107532
BEL,Belgium,2017,109278
BEL,Belgium,2018,110341
BEL,Belgium,2019,108436
BEL,Belgium,2020,128432
BEL,Belgium,2021,111956
BEL,Belgium,2022,71176
BGR,Bulgaria,2015,112270
BGR,Bulgaria,2016,107015
BGR,Bulgaria,2017,109184
BGR,Bulgaria,2018,108202
BGR,Bulgaria,2019,107818
BGR,Bulgaria,2020,125914
BGR,Bulgaria,2021,148638
BGR,Bulgaria,2022,64396
BIH,Bosnia,2015,38150
BIH,Bosnia,2016,36571
BIH,Bosnia,2017,36336
BIH,Bosnia,2018,36305
BIH,Bosnia,2019,37130
BIH,Bosnia,2020,42803
BIH,Bosnia,2021,48503
BIH,Bosnia,2022,12976
BLR,Belarus,2015,120025
BLR,Belarus,2016,119369
BLR,Belarus,2017,119303
BLR,Belarus,2018,120047
BLR,Belarus,2019,120913
BLR,Belarus,2020,144536
BLR,Belarus,2021,39717
BLZ,Belize,2015,1812
BLZ,Belize,2016,1829
BLZ,Belize,2017,1930
BLZ,Belize,2018,1915
BLZ,Belize,2019,1994
BLZ,Belize,2020,2158
BMU,Bermuda,2015,478
BMU,Bermuda,2016,492
BMU,Bermuda,2017,481
BMU,Bermuda,2018,533
BMU,Bermuda,2019,535
BMU,Bermuda,2020,566
BMU,Bermuda,2021,727
BOL,Bolivia,2015,48935
BOL,Bolivia,2016,50767
BOL,Bolivia,2017,49794
BOL,Bolivia,2018,51570
BOL,Bolivia,2019,51998
BOL,Bolivia,2020,74863
BOL,Bolivia,2021,84301
BOL,Bolivia,2022,9779
BRA,Brazil,2015,1264175
BRA,Brazil,2016,1309774
BRA,Brazil,2017,1312663
BRA,Brazil,2018,1316719
BRA,Brazil,2019,1349802
BRA,Brazil,2020,1581645
BRA,Brazil,2021,1847118
BRA,Brazil,2022,814818
BRB,Barbados,2015,2570
BRB,Barbados,2016,2584
BRB,Barbados,2017,2632
BRB,Barbados,2018,2531
BRB,Barbados,2019,2896
BRB,Barbados,2020,2713
BRB,Barbados,2021,2000
BRN,Brunei,2015,1547
BRN,Brunei,2016,1632
BRN,Brunei,2017,1696
BRN,Brunei,2018,1612
BRN,Brunei,2019,1757
BRN,Brunei,2020,1752
CAN,Canada,2015,269455
CAN,Canada,2016,266080
CAN,Canada,2017,277395
CAN,Canada,2018,284865
CAN,Canada,2019,284315
CAN,Canada,2020,312305
CAN,Canada,2021,307200
CAN,Canada,2022,96240
CHE,Switzerland,2015,68786
CHE,Switzerland,2016,64649
CHE,Switzerland,2017,66703
CHE,Switzerland,2018,66888
CHE,Switzerland,2019,67515
CHE,Switzerland,2020,77222
CHE,Switzerland,2021,70627
CHE,Switzerland,2022,38738
CHL,Chile,2016,103375
CHL,Chile,2017,106045
CHL,Chile,2018,106458
CHL,Chile,2019,109348
CHL,Chile,2020,127458
CHL,Chile,2021,137085
CHL,Chile,2022,81316
COL,Colombia,2015,222270
COL,Colombia,2016,220583
COL,Colombia,2017,224210
COL,Colombia,2018,234334
COL,Colombia,2019,241281
COL,Colombia,2020,306243
COL,Colombia,2021,360790
COL,Colombia,2022,153213
CPV,Cabo Verde,2015,2761
CPV,Cabo Verde,2016,2591
CPV,Cabo Verde,2017,2497
CPV,Cabo Verde,2018,2836
CPV,Cabo Verde,2019,2771
CPV,Cabo Verde,2020,2959
CRI,Costa Rica,2015,21038
