Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2011,3.832,7.62,0.521,51.92,0.496,0.162,0.731,0.611,0.267
Albania,2011,5.867,9.331,0.759,66.68,0.487,-0.205,0.877,0.628,0.257
Algeria,2011,5.317,9.297,0.81,64.66,0.53,-0.181,0.638,0.55,0.255
Angola,2011,5.589,8.946,0.723,52.5,0.584,0.055,0.911,0.659,0.361
Argentina,2011,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0.84,0.232
Armenia,2011,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,0.475,0.459
Australia,2011,7.406,10.733,0.967,72.3,0.945,0.369,0.382,0.816,0.195
Austria,2011,7.471,10.887,0.944,71.54,0.939,0.132,0.703,0.789,0.145
Azerbaijan,2011,4.68,9.54,0.725,63.64,0.537,-0.105,0.795,0.536,0.258
Bahrain,2011,4.824,10.696,0.908,66.58,0.87,-0.051,0.583,0.544,0.514
Bangladesh,2011,4.986,8.018,0.606,61.12,0.838,-0.069,0.757,0.685,0.235
Belarus,2011,5.225,9.812,0.91,62.88,0.656,-0.168,0.672,0.521,0.249
Belgium,2011,7.111,10.783,0.937,70.92,0.88,-0.014,0.711,0.835,0.225
Benin,2011,3.87,7.904,0.477,51.98,0.773,-0.142,0.849,0.626,0.219
Bolivia,2011,5.779,8.831,0.817,61.34,0.782,-0.039,0.825,0.761,0.361
Bosnia and Herzegovina,2011,4.995,9.333,0.725,66.74,0.333,-0.035,0.925,0.596,0.326
Botswana,2011,3.52,9.6,0.86,53.68,0.813,-0.25,0.816,0.739,0.16
Brazil,2011,7.038,9.637,0.916,64.76,0.834,-0.072,0.662,0.807,0.268
Bulgaria,2011,3.875,9.795,0.86,65.8,0.664,-0.228,0.948,0.534,0.271
Burkina Faso,2011,4.785,7.487,0.71,50.24,0.725,-0.105,0.707,0.579,0.205
Burundi,2011,3.706,6.748,0.422,50.68,0.49,-0.062,0.677,0.689,0.19
Cambodia,2011,4.161,7.96,0.716,58.88,0.927,0.418,0.775,0.799,0.308
Cameroon,2011,4.434,8.048,0.738,48.7,0.817,-0.029,0.87,0.598,0.272
Canada,2011,7.426,10.738,0.922,72.36,0.951,0.253,0.433,0.881,0.248
Central African Republic,2011,3.678,7.125,0.387,43.08,0.78,-0.016,0.834,0.524,0.277
Chad,2011,4.393,7.425,0.819,45.42,0.54,0.031,0.876,0.591,0.289
Chile,2011,6.526,9.98,0.819,69.04,0.701,0.112,0.753,0.804,0.317
China,2011,5.037,9.179,0.787,67.76,0.824,-0.186,,0.82,0.134
Colombia,2011,6.464,9.442,0.904,65.92,0.811,-0.073,0.847,0.832,0.286
Comoros,2011,3.838,7.981,0.722,55.02,0.5,-0.075,0.732,0.667,0.173
Congo (Brazzaville),2011,4.51,8.18,0.637,54.58,0.745,-0.109,0.833,0.621,0.288
Congo (Kinshasa),2011,4.517,6.797,0.744,50.34,0.631,-0.025,0.856,0.617,0.208
Costa Rica,2011,7.229,9.705,0.892,69.9,0.926,-0.033,0.837,0.876,0.269
Croatia,2011,5.385,10.091,0.79,68,0.517,-0.198,0.977,0.598,0.273
Cyprus,2011,6.69,10.53,0.844,72.54,0.745,0.18,0.841,0.763,0.272
Czech Republic,2011,6.331,10.435,0.914,68.24,0.787,-0.106,0.95,0.601,0.253
Denmark,2011,7.788,10.848,0.962,70.62,0.935,0.298,0.22,0.769,0.175
Djibouti,2011,4.369,7.88,0.633,54.7,0.746,-0.057,0.519,0.579,0.181
Dominican Republic,2011,5.397,9.475,0.872,64.02,0.848,0.014,0.788,0.809,0.3
Ecuador,2011,5.795,9.304,0.818,66.96,0.788,-0.155,0.702,0.862,0.271
Egypt,2011,4.174,9.24,0.753,60.16,0.59,-0.151,0.859,0.529,0.353
El Salvador,2011,4.741,8.933,0.731,64.4,0.747,-0.126,0.707,0.875,0.336
Estonia,2011,5.487,10.248,0.909,66.96,0.735,-0.168,0.687,0.651,0.205
Finland,2011,7.354,10.754,0.938,70.64,0.936,0.101,0.32,0.773,0.205
France,2011,6.959,10.671,0.921,72.4,0.903,-0.102,0.627,0.781,0.281
Gabon,2011,4.255,9.608,0.653,55.48,0.772,-0.211,0.851,0.591,0.264
Georgia,2011,4.203,9.263,0.503,64.86,0.632,-0.255,0.353,0.515,0.247
Germany,2011,6.621,10.813,0.947,70.98,0.906,0.033,0.677,0.794,0.165
Ghana,2011,5.608,8.332,0.724,54.48,0.852,0.011,0.79,0.744,0.209
Greece,2011,5.372,10.339,0.852,71.56,0.528,-0.316,0.941,0.591,0.323
Guatemala,2011,5.743,8.923,0.768,62.46,0.763,0.009,0.863,0.844,0.289
Guinea,2011,4.045,7.567,0.598,50.22,0.797,0.041,0.743,0.701,0.26
Haiti,2011,4.845,7.423,0.567,36.86,0.413,0.243,0.682,0.625,0.245
