Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,7/20/22,,,,,
,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2019,2020,2021
Aruba,ABW,"Population, total",SP.POP.TOTL,106310,106766,107195
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,660046272,677243299,694665117
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041757,38928341,39835428
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,446911598,458803476,470898870
Angola,AGO,"Population, total",SP.POP.TOTL,31825299,32866268,33933611
Albania,ALB,"Population, total",SP.POP.TOTL,2854191,2837849,2811666
Andorra,AND,"Population, total",SP.POP.TOTL,77146,77265,77354
Arab World,ARB,"Population, total",SP.POP.TOTL,427870273,436080728,444517783
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9770526,9890400,9991083
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712,45376763,45808747
Armenia,ARM,"Population, total",SP.POP.TOTL,2957728,2963234,2968128
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312,55197,55103
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97115,97928,98728
Australia,AUS,"Population, total",SP.POP.TOTL,25365745,25693267,25739256
Austria,AUT,"Population, total",SP.POP.TOTL,8879920,8916864,8956279
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283,10093121,10145212
Burundi,BDI,"Population, total",SP.POP.TOTL,11530577,11890781,12255429
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980,11544241,11587882
Benin,BEN,"Population, total",SP.POP.TOTL,11801151,12123198,12451031
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20321383,20903278,21497097
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046173,164689383,166303494
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761,6934015,6899125
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641164,1701583,1748295
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389486,393248,396914
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3300998,3280815,3263459
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758,9379952,9340314
Belize,BLZ,"Population, total",SP.POP.TOTL,390351,397621,404915
Bermuda,BMU,"Population, total",SP.POP.TOTL,63911,63893,63867
Bolivia,BOL,"Population, total",SP.POP.TOTL,11513102,11673029,11832936
Brazil,BRA,"Population, total",SP.POP.TOTL,211049519,212559409,213993441
Barbados,BRB,"Population, total",SP.POP.TOTL,287021,287371,287708
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,433296,437483,441532
Bhutan,BTN,"Population, total",SP.POP.TOTL,763094,771612,779900
Botswana,BWA,"Population, total",SP.POP.TOTL,2303703,2351625,2397240
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4745179,4829764,4919987
Canada,CAN,"Population, total",SP.POP.TOTL,37601230,38037204,38246108
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102398494,102172351,101669618
Switzerland,CHE,"Population, total",SP.POP.TOTL,8575280,8636561,8697723
Channel Islands,CHI,"Population, total",SP.POP.TOTL,172264,173859,175244
Chile,CHL,"Population, total",SP.POP.TOTL,18952035,19116209,19212362
China,CHN,"Population, total",SP.POP.TOTL,1407745000,1411100000,1412360000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25716554,26378275,27053629
Cameroon,CMR,"Population, total",SP.POP.TOTL,25876387,26545864,27224262
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,86790568,89561404,92377986
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5380504,5518092,5657017
Colombia,COL,"Population, total",SP.POP.TOTL,50339443,50882884,51265841
Comoros,COM,"Population, total",SP.POP.TOTL,850891,869595,888456
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,549936,555988,561901
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5047561,5094114,5139053
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7401389,7442291,7481631
Cuba,CUB,"Population, total",SP.POP.TOTL,11333484,11326616,11317498
Curacao,CUW,"Population, total",SP.POP.TOTL,157441,154947,152369
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64948,65720,66498
Cyprus,CYP,"Population, total",SP.POP.TOTL,1198574,1207361,1215588
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10671870,10697858,10703446
Germany,DEU,"Population, total",SP.POP.TOTL,83092962,83160871,83129285
Djibouti,DJI,"Population, total",SP.POP.TOTL,973557,988002,1002197
Dominica,DMA,"Population, total",SP.POP.TOTL,71808,71991,72172
Denmark,DNK,"Population, total",SP.POP.TOTL,5814422,5831404,5856733
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10738957,10847904,10953714
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054,43851043,44616626
