Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Argentina,2006,6.313,9.942,0.938,66.82,0.733,-0.157,0.852,0.825,0.328
Armenia,2006,4.289,9.044,0.682,64.8,0.52,-0.231,0.85,0.494,0.469
Austria,2006,7.122,10.842,0.936,70.76,0.941,0.302,0.49,0.823,0.174
Azerbaijan,2006,4.728,9.17,0.854,61.88,0.772,-0.235,0.774,0.512,0.276
Bangladesh,2006,4.319,7.783,0.672,59.02,0.612,0.068,0.786,0.6,0.321
Belarus,2006,5.658,9.489,0.918,61.1,0.707,-0.246,0.708,0.605,0.269
Benin,2006,3.33,7.866,0.445,50.1,0.58,-0.011,0.79,0.587,0.309
Bolivia,2006,5.374,8.686,0.834,59,0.77,-0.044,0.794,0.739,0.432
Botswana,2006,4.739,9.492,0.883,46.82,0.824,-0.195,0.723,0.688,0.226
Burkina Faso,2006,3.801,7.367,0.796,46.66,0.588,0.028,0.798,0.716,0.266
Cambodia,2006,3.569,7.746,0.793,55.3,,0.255,0.829,0.719,0.341
Cameroon,2006,3.851,8.007,0.69,45.98,0.653,-0.009,0.907,0.606,0.271
Chad,2006,3.435,7.36,0.724,43.18,0.306,0.028,0.961,0.58,0.263
Chile,2006,6.063,9.85,0.836,68.66,0.744,0.168,0.634,0.804,0.348
China,2006,4.56,8.696,0.747,66.88,,,,0.809,0.17
Colombia,2006,6.025,9.277,0.91,65.22,0.805,-0.015,0.808,0.8,0.326
Costa Rica,2006,7.082,9.565,0.937,69.94,0.882,0.06,0.798,0.868,0.236
Cuba,2006,5.418,,0.97,68.44,0.281,,,0.647,0.277
Cyprus,2006,6.238,10.566,0.878,71.44,0.836,0.018,0.712,0.829,0.253
Dominican Republic,2006,5.088,9.314,0.919,62.68,0.858,0.038,0.755,0.748,0.274
Ecuador,2006,5.024,9.186,0.91,66.08,0.671,-0.091,0.901,0.825,0.357
El Salvador,2006,5.701,8.873,0.878,62.92,0.683,-0.056,0.807,0.864,0.233
Estonia,2006,5.371,10.27,0.91,64.86,0.749,-0.264,0.797,0.655,0.215
Finland,2006,7.672,10.745,0.965,69.76,0.969,-0.005,0.132,0.722,0.172
France,2006,6.583,10.659,0.944,71.48,0.789,0.126,0.699,0.777,0.289
Georgia,2006,3.675,8.993,0.647,65.12,0.553,-0.267,0.752,0.433,0.269
Ghana,2006,4.535,8.073,0.728,52.34,0.849,0.213,0.814,0.671,0.198
Guatemala,2006,5.901,8.85,0.83,60.74,0.663,0.172,0.706,0.818,0.287
Haiti,2006,3.754,7.407,0.694,48.46,0.449,0.401,0.854,0.613,0.332
Honduras,2006,5.397,8.462,0.933,64.54,0.65,0.089,0.844,0.858,0.155
Hong Kong S.A.R. of China,2006,5.511,10.746,0.812,,0.91,0.156,0.356,0.723,0.236
India,2006,5.348,8.145,0.707,55.72,0.774,,0.855,0.687,0.199
Indonesia,2006,4.947,8.85,0.771,59.84,0.713,0.347,0.915,0.825,0.266
Ireland,2006,7.144,10.972,0.967,70.14,0.943,0.242,0.473,0.878,0.209
Israel,2006,7.173,10.389,0.927,71.12,0.817,,0.905,0.696,0.308
Jamaica,2006,6.208,9.225,0.909,64.9,0.738,-0.004,0.946,0.788,0.201
Kazakhstan,2006,5.476,9.804,0.872,58.2,0.731,-0.274,0.865,0.669,0.185
Kenya,2006,4.223,8.039,0.909,50.22,0.616,-0.02,0.86,0.705,0.198
Kuwait,2006,6.076,11.228,0.919,63.96,0.769,-0.236,0.328,0.846,0.182
Kyrgyzstan,2006,4.641,8.185,0.844,59.98,0.678,-0.14,0.879,0.655,0.159
Laos,2006,5.076,8.251,0.807,53.92,0.925,0.439,0.688,0.886,0.163
Latvia,2006,4.71,10.032,0.884,63.16,0.641,-0.229,0.937,0.654,0.234
Lebanon,2006,4.653,9.568,0.853,64.72,0.67,0.069,0.902,0.548,0.32
Lithuania,2006,5.954,10.046,0.93,63.14,0.567,-0.295,0.967,0.621,0.254
Madagascar,2006,3.98,7.376,0.711,54.04,,-0.039,,0.702,0.161
Malawi,2006,3.83,6.678,0.554,44.88,0.767,0.2,0.676,0.67,0.222
Malaysia,2006,6.012,9.839,0.866,64.96,0.837,0.201,0.74,0.75,0.243
Mali,2006,4.014,7.593,0.761,45.92,0.555,-0.072,0.761,0.767,0.209
Moldova,2006,5.102,8.936,0.812,60.58,0.554,-0.164,0.926,0.619,0.255
Mozambique,2006,4.595,6.776,0.879,44.8,0.684,0.041,0.758,0.623,0.327
Nepal,2006,4.567,7.616,0.874,57.2,0.689,,0.897,0.717,0.171
New Zealand,2006,7.305,10.526,0.946,71.2,0.932,0.312,0.224,0.88,0.219
Nicaragua,2006,4.46,8.398,0.877,64.14,0.745,0.01,0.844,0.779,0.294
Niger,2006,3.737,6.888,0.677,46.36,0.75,0.076,0.755,0.755,0.179
Nigeria,2006,4.71,8.326,0.735,44.12,0.649,0.085,0.871,0.781,0.178
Norway,2006,7.416,11.031,0.959,71.32,0.96,0.109,0.397,0.832,0.197
Palestinian Territories,2006,4.716,8.213,0.818,61.78,0.547,,0.858,0.497,0.431
Panama,2006,6.128,9.764,0.951,67.9,0.882,-0.047,0.912,0.845,0.232
Paraguay,2006,4.73,9.088,0.895,63.62,0.691,0.066,0.841,0.816,0.303
Peru,2006,4.811,8.989,0.875,65.34,0.668,-0.071,0.895,0.697,0.42
Philippines,2006,4.67,8.562,0.795,59.8,0.828,0.063,0.841,0.832,
Portugal,2006,5.405,10.36,0.905,69.84,0.882,-0.179,0.88,0.709,0.333
Russia,2006,4.964,9.991,0.895,58.68,0.643,-0.307,0.935,0.611,0.232
Rwanda,2006,4.215,7.111,0.718,49.88,0.915,,0.299,0.735,0.189
Senegal,2006,4.417,7.881,0.76,53.38,0.736,-0.051,0.805,0.74,0.225
Sierra Leone,2006,3.628,7.136,0.561,40.3,0.679,0.101,0.836,0.505,0.381
Singapore,2006,6.463,11.168,0.904,73.6,0.757,0.138,,0.751,0.267
Slovakia,2006,5.265,10.015,0.954,66,0.542,-0.05,0.946,0.678,0.308
Slovenia,2006,5.811,10.403,0.936,68,0.936,0.043,0.708,0.652,0.307
South Africa,2006,5.084,9.386,0.913,48.02,0.649,-0.084,,0.802,0.223
South Korea,2006,5.332,10.31,0.775,70.2,0.715,-0.052,0.799,0.651,0.338
Sri Lanka,2006,4.345,8.912,0.864,65.78,0.724,0.062,0.838,0.757,0.216
Switzerland,2006,7.473,11.05,0.951,71.54,0.919,0.29,0.408,0.821,0.212
Taiwan Province of China,2006,6.189,10.613,0.882,68.68,0.63,-0.03,0.846,0.814,0.094
Tajikistan,2006,4.613,7.554,0.724,60.64,0.702,-0.088,0.768,0.566,0.195
Tanzania,2006,3.922,7.485,0.783,48.7,0.787,-0.027,0.649,0.748,0.209
Thailand,2006,5.885,9.461,0.894,64.14,0.863,0.331,0.935,0.814,0.164
Togo,2006,3.202,7.078,0.435,49.26,0.628,-0.007,0.85,0.615,0.348
Trinidad and Tobago,2006,5.832,10.224,0.887,61.76,0.84,0.141,0.917,0.798,0.229
Uganda,2006,3.734,7.37,0.76,46.48,0.747,-0.041,0.807,0.59,0.254
Ukraine,2006,4.804,9.38,0.852,60.12,0.624,-0.257,0.929,0.622,0.249
United Arab Emirates,2006,6.734,11.367,0.903,65.92,0.898,-0.033,0.203,0.746,0.275
United States,2006,7.182,10.924,0.965,68.06,0.911,,0.6,0.827,0.261
Uruguay,2006,5.786,9.543,0.912,67.44,0.807,-0.113,0.477,0.784,0.306
Uzbekistan,2006,5.232,8.193,0.903,61.44,0.784,-0.115,0.609,0.728,0.195
Venezuela,2006,6.525,9.46,0.946,65.46,0.798,-0.031,0.646,0.859,0.178
Vietnam,2006,5.294,8.335,0.888,65.86,0.886,0.015,,0.682,0.204
Zambia,2006,4.824,7.817,0.798,44.26,0.721,-0.006,0.785,0.701,0.226
Zimbabwe,2006,3.826,7.711,0.822,41.58,0.431,-0.076,0.905,0.715,0.297
