Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2016,4.22,7.697,0.559,53,0.523,0.042,0.793,0.565,0.348
Albania,2016,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322
Algeria,2016,5.341,9.362,0.749,65.5,,,,0.661,0.377
Argentina,2016,6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.842,0.312
Armenia,2016,4.325,9.333,0.709,66.3,0.611,-0.17,0.921,0.594,0.437
Australia,2016,7.25,10.791,0.942,73,0.922,0.239,0.399,0.791,0.236
Austria,2016,7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197
Azerbaijan,2016,5.304,9.564,0.777,64.9,0.713,-0.204,0.607,0.598,0.191
Bahrain,2016,6.17,10.781,0.863,68.1,0.889,0.088,,0.787,0.283
Bangladesh,2016,4.556,8.274,0.649,63.3,0.875,-0.089,0.688,0.56,0.235
Belarus,2016,5.178,9.788,0.927,65.5,0.658,-0.125,0.664,0.554,0.182
Belgium,2016,6.949,10.819,0.929,71.6,0.866,-0.056,0.497,0.765,0.26
Benin,2016,4.007,7.993,0.493,53.5,0.78,-0.065,0.838,0.608,0.456
Bolivia,2016,5.77,9.012,0.796,63,0.882,-0.047,0.853,0.783,0.376
Bosnia and Herzegovina,2016,5.181,9.5,0.808,67.2,0.633,0.134,0.957,0.641,0.304
Botswana,2016,3.499,9.748,0.768,57.5,0.852,-0.253,0.729,0.686,0.252
Brazil,2016,6.375,9.578,0.912,66,0.807,-0.1,0.781,0.763,0.302
Bulgaria,2016,4.838,9.928,0.926,66.4,0.7,-0.17,0.936,0.622,0.172
Burkina Faso,2016,4.206,7.596,0.764,52.9,0.645,-0.001,0.721,0.616,0.337
Cambodia,2016,4.461,8.225,0.746,60.8,0.958,0.076,0.84,0.839,0.398
Cameroon,2016,4.816,8.167,0.659,51.1,0.713,-0.003,0.879,0.662,0.367
Canada,2016,7.245,10.773,0.924,73.2,0.912,0.211,0.385,0.825,0.237
Central African Republic,2016,2.693,6.785,0.29,44.9,0.624,0.033,0.859,0.579,0.494
Chad,2016,4.029,7.431,0.616,47.2,0.525,0.052,0.82,0.582,0.468
Chile,2016,6.579,10.074,0.841,69.7,0.652,0.102,0.858,0.869,0.283
China,2016,5.325,9.51,0.742,68.7,,-0.228,,0.826,0.146
Colombia,2016,6.234,9.571,0.882,67.1,0.835,-0.1,0.898,0.794,0.294
Congo (Brazzaville),2016,4.119,8.19,0.615,56.7,0.786,-0.072,0.79,0.61,0.304
Congo (Kinshasa),2016,4.522,6.962,0.864,52.5,0.637,-0.024,0.875,0.646,0.222
Costa Rica,2016,7.136,9.83,0.901,70.9,0.873,-0.032,0.781,0.874,0.281
Croatia,2016,5.417,10.146,0.798,69,0.672,-0.065,0.884,0.614,0.337
Cyprus,2016,5.795,10.506,0.786,73.3,0.756,-0.03,0.898,0.742,0.336
Czech Republic,2016,6.736,10.518,0.931,69.3,0.85,-0.197,0.9,0.756,0.201
Denmark,2016,7.558,10.903,0.954,71.8,0.948,0.138,0.21,0.836,0.208
Dominican Republic,2016,5.239,9.691,0.895,65.2,0.873,-0.08,0.737,0.76,0.278
Ecuador,2016,6.115,9.355,0.842,67.9,0.846,-0.015,0.774,0.846,0.365
Egypt,2016,4.557,9.287,0.809,61.1,0.656,-0.141,0.818,0.611,0.37
El Salvador,2016,6.14,9.025,0.794,65.5,0.8,-0.185,0.797,0.761,0.346
Estonia,2016,5.65,10.374,0.938,68.2,0.843,-0.149,0.639,0.726,0.177
Ethiopia,2016,4.298,7.547,0.719,57.5,0.744,0.038,0.703,0.727,0.254
Finland,2016,7.66,10.74,0.954,71.7,0.948,-0.027,0.25,0.797,0.182
France,2016,6.475,10.69,0.885,73.4,0.787,-0.091,0.623,0.773,0.27
Gabon,2016,4.832,9.639,0.78,58.7,0.699,-0.204,0.817,0.64,0.432
Georgia,2016,4.448,9.47,0.533,64.9,0.606,-0.249,0.561,0.564,0.223
Germany,2016,6.874,10.858,0.906,71.6,0.871,0.148,0.446,0.738,0.187
Ghana,2016,4.514,8.46,0.647,56.4,0.751,0.09,0.894,0.668,0.305
Greece,2016,5.303,10.261,0.803,72,0.482,-0.26,0.898,0.701,0.336
Guatemala,2016,6.359,9.013,0.811,64.2,0.863,0.011,0.812,0.846,0.321
Guinea,2016,3.603,7.721,0.675,52.2,0.726,-0.056,0.803,0.687,0.374
Haiti,2016,3.352,7.477,0.584,55.3,0.304,0.291,0.839,0.553,0.367
Honduras,2016,5.648,8.593,0.774,66.8,0.85,0.08,0.793,0.832,0.297
Hong Kong S.A.R. of China,2016,5.498,10.97,0.832,,0.8,0.1,0.403,0.664,0.213
Hungary,2016,5.449,10.248,0.9,66.8,0.554,-0.187,0.924,0.666,0.243
Iceland,2016,7.51,10.904,0.985,73,0.952,0.281,0.719,0.874,0.158
India,2016,4.179,8.673,0.614,59.3,0.82,0.046,0.765,0.695,0.346
Indonesia,2016,5.136,9.262,0.792,61.7,0.83,0.5,0.89,0.833,0.342
Iran,2016,4.653,9.561,0.566,65.4,0.773,0.186,0.713,0.687,0.526
Iraq,2016,4.413,9.354,0.719,59,0.666,-0.052,0.799,0.489,0.57
Ireland,2016,7.041,11.199,0.958,72.1,0.875,0.174,0.399,0.809,0.211
Israel,2016,7.159,10.555,0.89,72.9,0.772,0.153,0.804,0.629,0.263
Italy,2016,5.955,10.622,0.927,73.2,0.624,-0.081,0.903,0.685,0.339
Ivory Coast,2016,4.543,8.437,0.617,48.3,0.769,-0.043,0.757,0.704,0.378
Japan,2016,5.955,10.595,0.9,74.8,0.836,-0.062,0.698,0.76,0.192
Jordan,2016,5.271,9.197,0.82,66.4,0.771,-0.038,,0.641,0.312
Kazakhstan,2016,5.534,10.095,0.928,63.4,0.783,-0.036,0.702,0.702,0.155
Kenya,2016,4.396,8.282,0.706,58.9,0.749,0.298,0.828,0.743,0.226
Kosovo,2016,5.759,9.228,0.824,,0.827,0.125,0.941,0.704,0.15
Kuwait,2016,5.947,10.91,0.845,66.3,0.841,-0.075,,0.688,0.315
Kyrgyzstan,2016,4.857,8.5,0.914,63.5,0.814,0.056,0.917,0.778,0.126
Latvia,2016,5.94,10.211,0.917,66.2,0.685,-0.156,0.868,0.654,0.231
Lebanon,2016,5.271,9.687,0.828,66.1,0.657,0.031,0.853,0.553,0.263
Lesotho,2016,3.808,7.953,0.798,46.6,0.729,-0.099,0.743,0.732,0.27
Liberia,2016,3.355,7.324,0.643,54.5,0.763,0.033,0.901,0.636,0.509
Libya,2016,5.434,9.268,0.876,62.3,0.822,-0.089,,0.718,0.383
Lithuania,2016,5.866,10.373,0.938,66.1,0.614,-0.266,0.949,0.594,0.25
Luxembourg,2016,6.967,11.64,0.941,72.6,0.882,0.019,0.356,0.758,0.192
Madagascar,2016,3.663,7.356,0.746,58.3,0.57,-0.069,0.864,0.813,0.204
Malawi,2016,3.476,6.932,0.524,56.2,0.81,0.066,0.824,0.603,0.325
Mali,2016,4.016,7.695,0.836,50.7,0.696,-0.07,0.862,0.807,0.305
Malta,2016,6.591,10.599,0.93,72.2,0.916,0.345,0.696,0.687,0.355
Mauritania,2016,4.472,8.526,0.785,56.4,0.467,-0.175,0.842,0.735,0.222
Mauritius,2016,5.61,9.935,0.836,65.8,0.819,0.139,0.891,0.785,0.246
Mexico,2016,6.824,9.884,0.893,67.7,0.752,-0.153,0.809,0.859,0.22
Moldova,2016,5.578,9.3,0.837,63.6,0.557,-0.047,0.969,0.621,0.275
Mongolia,2016,5.057,9.3,0.947,61.9,0.76,0.09,0.9,0.694,0.171
Montenegro,2016,5.304,9.839,0.866,68.1,0.569,-0.087,0.849,0.591,0.337
Morocco,2016,5.386,8.869,0.655,65.3,0.817,-0.237,0.717,0.713,0.205
Myanmar,2016,4.623,8.408,0.793,58.4,0.877,0.679,0.607,0.804,0.302
Nepal,2016,5.1,7.973,0.837,61.3,0.839,0.168,0.817,0.627,0.37
Netherlands,2016,7.541,10.899,0.926,72.1,0.907,0.239,0.433,0.838,0.215
New Zealand,2016,7.226,10.623,0.937,72.8,0.927,0.266,0.278,0.833,0.207
Nicaragua,2016,6.013,8.668,0.853,66.9,0.717,0.039,0.731,0.805,0.38
Niger,2016,4.235,7.047,0.683,52.5,0.702,-0.016,0.814,0.675,0.325
Nigeria,2016,5.22,8.573,0.805,48.9,0.798,0.043,0.905,0.732,0.252
North Cyprus,2016,5.827,,0.808,,0.796,,0.67,0.644,0.346
North Macedonia,2016,5.346,9.64,0.871,65.225,0.706,0.08,0.87,0.639,0.292
Norway,2016,7.596,11.035,0.96,73,0.954,0.133,0.41,0.85,0.209
Pakistan,2016,5.549,8.394,0.627,57.7,0.634,0.095,0.793,0.648,0.332
Palestinian Territories,2016,4.907,8.498,0.818,,0.608,-0.129,0.812,0.593,0.378
Panama,2016,6.118,10.287,0.882,69.4,0.884,-0.102,0.837,0.858,0.244
Paraguay,2016,5.801,9.406,0.94,65.3,0.854,-0.071,0.756,0.925,0.197
Peru,2016,5.701,9.426,0.803,67.5,0.83,-0.134,0.866,0.822,0.338
Philippines,2016,5.431,8.95,0.821,61.7,0.908,-0.071,0.792,0.821,0.29
Poland,2016,6.162,10.266,0.917,68.5,0.871,-0.091,0.848,0.777,0.224
Portugal,2016,5.447,10.37,0.905,72,0.838,-0.225,0.922,0.684,0.326
Romania,2016,5.969,10.136,0.809,66.6,0.822,-0.115,0.949,0.694,0.258
Russia,2016,5.855,10.149,0.911,63.5,0.714,-0.181,0.925,0.636,0.142
Rwanda,2016,3.333,7.576,0.665,59.9,0.911,0.025,0.159,0.752,0.285
Saudi Arabia,2016,6.474,10.792,0.89,65.7,0.774,-0.132,,0.793,0.266
Senegal,2016,4.595,8.029,0.839,58.8,0.744,-0.086,0.794,0.784,0.245
Serbia,2016,5.753,9.688,0.895,67.4,0.614,-0.068,0.89,0.535,0.298
Sierra Leone,2016,4.733,7.384,0.657,47.6,0.681,0.106,0.863,0.584,0.456
Singapore,2016,6.033,11.419,0.925,76.2,0.904,0.143,0.047,0.824,0.111
Slovakia,2016,5.993,10.31,0.945,68.3,0.7,-0.061,0.917,0.774,0.232
Slovenia,2016,5.937,10.463,0.934,70.5,0.904,-0.055,0.838,0.626,0.272
Somalia,2016,4.668,,0.594,50,0.917,,0.441,0.891,0.193
South Africa,2016,4.77,9.45,0.875,55.7,0.774,-0.07,0.813,0.786,0.301
South Korea,2016,5.971,10.593,0.811,73,0.591,0.026,0.862,0.676,0.233
South Sudan,2016,2.888,,0.532,50.6,0.44,,0.785,0.615,0.549
Spain,2016,6.319,10.56,0.942,73.8,0.768,-0.048,0.819,0.653,0.301
Sweden,2016,7.369,10.861,0.912,72.4,0.918,0.146,0.246,0.816,0.201
Switzerland,2016,7.459,11.106,0.928,73.5,0.934,0.088,0.302,0.779,0.206
Taiwan Province of China,2016,6.513,10.855,0.895,,0.719,-0.049,0.811,0.833,0.108
Tajikistan,2016,5.104,7.987,0.857,63.5,0.703,0.01,0.632,0.644,0.22
Tanzania,2016,2.903,7.8,0.638,56.5,0.775,0.179,0.739,0.694,0.246
Thailand,2016,6.074,9.729,0.908,66.8,0.924,0.356,0.878,0.835,0.218
Togo,2016,3.879,7.306,0.509,53.9,0.73,-0.007,0.815,0.604,0.483
Tunisia,2016,4.521,9.262,0.702,66.3,0.614,-0.165,0.811,0.612,0.378
Turkey,2016,5.326,10.181,0.88,66,0.644,-0.065,0.764,0.465,0.39
Turkmenistan,2016,5.887,9.515,0.929,61.4,0.749,0.005,,0.636,0.255
Uganda,2016,4.233,7.637,0.754,54.9,0.739,0.132,0.811,0.668,0.41
Ukraine,2016,4.029,9.353,0.885,64,0.503,0.011,0.891,0.589,0.22
United Arab Emirates,2016,6.831,11.105,0.849,66.7,0.949,0.131,,0.775,0.245
United Kingdom,2016,6.824,10.724,0.954,71.9,0.821,0.25,0.458,0.776,0.23
United States,2016,6.804,10.986,0.897,68.5,0.758,0.144,0.739,0.806,0.264
Uruguay,2016,6.171,9.946,0.9,68.8,0.886,-0.072,0.676,0.842,0.283
Uzbekistan,2016,5.893,8.756,0.945,64.5,0.984,0.208,,0.842,0.147
Venezuela,2016,4.041,9.01,0.902,66.1,0.458,-0.155,0.89,0.688,0.392
Vietnam,2016,5.062,8.82,0.876,67.5,0.894,-0.09,0.799,0.536,0.223
Yemen,2016,3.826,7.715,0.775,55.1,0.533,-0.151,,0.469,0.228
