Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2008,3.724,7.37,0.451,50.8,0.718,0.168,0.882,0.518,0.258
Argentina,2008,5.961,10.048,0.892,67.06,0.678,-0.132,0.865,0.823,0.318
Armenia,2008,4.652,9.256,0.709,65,0.462,-0.215,0.876,0.521,0.385
Australia,2008,7.254,10.719,0.947,71.88,0.916,0.305,0.431,0.826,0.218
Austria,2008,7.181,10.887,0.935,71.08,0.879,0.291,0.614,0.832,0.173
Azerbaijan,2008,4.817,9.465,0.684,62.64,0.601,-0.029,0.715,0.578,0.227
Bangladesh,2008,5.052,7.886,0.467,59.86,0.606,-0.044,0.802,0.725,0.232
Belarus,2008,5.463,9.677,0.904,61.7,0.64,-0.22,0.696,,0.246
Belgium,2008,7.117,10.789,0.923,70.44,0.887,0.007,0.652,0.813,0.242
Benin,2008,3.667,7.915,0.382,50.9,0.709,-0.004,0.825,0.584,0.303
Bolivia,2008,5.298,8.756,0.785,60,0.726,-0.092,0.801,0.781,0.392
Botswana,2008,5.451,9.59,0.832,49.86,0.858,-0.164,0.806,0.731,0.218
Brazil,2008,6.691,9.555,0.878,64.02,0.782,-0.078,0.688,0.82,0.265
Burkina Faso,2008,3.846,7.403,0.727,48.18,0.612,-0.101,0.887,0.523,0.304
Burundi,2008,3.563,6.719,0.291,49.02,0.26,-0.019,0.86,0.44,0.253
Cambodia,2008,4.462,7.879,0.619,56.9,0.914,0.045,0.888,0.739,0.335
Cameroon,2008,4.292,8.034,0.697,47.14,0.58,-0.069,0.945,0.6,0.312
Canada,2008,7.486,10.738,0.939,71.84,0.926,0.262,0.37,0.89,0.202
Chad,2008,4.632,7.356,0.571,44.14,0.527,0.063,0.944,0.569,0.225
Chile,2008,5.789,9.911,0.804,68.78,0.64,0.084,0.741,0.757,0.33
China,2008,4.846,8.911,0.748,67.24,0.853,-0.092,,0.817,0.147
Colombia,2008,6.168,9.351,0.88,65.46,0.795,-0.042,0.763,0.803,0.307
Congo (Brazzaville),2008,3.82,8.082,0.555,52.2,0.526,-0.098,,0.573,0.298
