Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371
Albania,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334
Algeria,2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289
Argentina,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.809,0.292
Armenia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437
Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225
Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.748,0.18
Azerbaijan,2017,5.152,9.555,0.787,65.2,0.731,-0.225,0.653,0.592,0.198
Bahrain,2017,6.227,10.771,0.876,68.5,0.906,0.136,,0.814,0.29
Bangladesh,2017,4.31,8.334,0.713,63.8,0.896,0.012,0.635,0.569,0.214
Belarus,2017,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,0.541,0.233
Belgium,2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,0.786,0.234
Benin,2017,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,0.615,0.458
Bolivia,2017,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,0.698,0.434
Bosnia and Herzegovina,2017,5.09,9.532,0.775,67.5,0.564,0.092,0.923,0.597,0.271
Botswana,2017,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,0.656,0.276
Brazil,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,0.716,0.308
Bulgaria,2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,0.614,0.189
Burkina Faso,2017,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,0.585,0.354
Cambodia,2017,4.586,8.276,0.765,61.2,0.964,0.088,0.821,0.799,0.408
Cameroon,2017,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,0.632,0.377
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.863,0.218
Central African Republic,2017,3.476,6.817,0.32,45.2,0.645,0.073,0.89,0.614,0.599
Chad,2017,4.559,7.37,0.661,47.7,0.615,0.008,0.792,0.628,0.538
Chile,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.838,0.291
China,2017,5.099,9.571,0.772,69,0.878,-0.175,,0.821,0.214
Colombia,2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,0.837,0.299
Congo (Brazzaville),2017,4.884,8.146,0.655,57.3,0.778,-0.131,0.763,0.599,0.382
Congo (Kinshasa),2017,4.311,6.966,0.67,52.9,0.704,0.068,0.809,0.551,0.404
Costa Rica,2017,7.225,9.858,0.922,71.1,0.936,-0.076,0.742,0.874,0.275
Croatia,2017,5.343,10.189,0.77,69.6,0.716,-0.104,0.892,0.655,0.316
Cyprus,2017,6.062,10.539,0.819,73.5,0.812,0.043,0.851,0.784,0.301
Czech Republic,2017,6.79,10.558,0.901,69.8,0.832,-0.177,0.867,0.739,0.227
Denmark,2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206
Dominican Republic,2017,5.605,9.725,0.894,65.5,0.855,-0.121,0.76,0.739,0.275
Ecuador,2017,5.84,9.36,0.849,68.2,0.879,-0.167,0.734,0.829,0.314
Egypt,2017,3.929,9.307,0.638,61.4,0.593,-0.152,,0.539,0.414
El Salvador,2017,6.339,9.042,0.829,65.8,0.758,-0.172,0.778,0.849,0.268
Estonia,2017,5.938,10.429,0.936,68.4,0.862,-0.101,0.668,0.805,0.16
Ethiopia,2017,4.18,7.612,0.734,58,0.717,0.001,0.757,0.609,0.304
Finland,2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176
France,2017,6.635,10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242
Gabon,2017,4.782,9.616,0.807,59.2,0.652,-0.228,0.868,0.634,0.446
Gambia,2017,4.118,7.637,0.697,54.7,0.812,0.111,0.572,0.838,0.277
Georgia,2017,4.451,9.517,0.59,64.7,0.821,-0.244,0.59,0.581,0.21
Germany,2017,7.074,10.878,0.892,71.9,0.841,0.145,0.414,0.737,0.196
Ghana,2017,5.481,8.517,0.669,56.8,0.783,0.079,0.839,0.703,0.248
